INFO 2025-11-26 15:14:36,594 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-11-26 15:14:46,597 basehttp 213 "GET /admin/users/user/ HTTP/1.1" 200 14076
INFO 2025-11-26 15:17:33,446 autoreload 265 D:\pyProject\StudenManager\ManagerApi\apps\users\urls.py changed, reloading.
INFO 2025-11-26 15:17:33,898 autoreload 667 Watching for file changes with StatReloader
INFO 2025-11-26 15:20:37,055 autoreload 265 D:\pyProject\StudenManager\ManagerApi\apps\users\urls.py changed, reloading.
INFO 2025-11-26 15:20:37,457 autoreload 667 Watching for file changes with StatReloader
INFO 2025-11-26 15:21:00,435 autoreload 265 D:\pyProject\StudenManager\ManagerApi\apps\users\urls.py changed, reloading.
INFO 2025-11-26 15:21:00,848 autoreload 667 Watching for file changes with StatReloader
WARNING 2025-11-26 15:24:16,247 log 253 Method Not Allowed: /users/login/
WARNING 2025-11-26 15:24:16,248 basehttp 213 "GET /users/login/ HTTP/1.1" 405 7624
INFO 2025-11-26 15:24:16,281 basehttp 213 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
INFO 2025-11-26 15:24:16,282 basehttp 213 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2025-11-26 15:24:16,282 basehttp 213 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
INFO 2025-11-26 15:24:16,284 basehttp 213 "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
INFO 2025-11-26 15:24:16,285 basehttp 213 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
INFO 2025-11-26 15:24:16,285 basehttp 213 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
INFO 2025-11-26 15:24:16,286 basehttp 213 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
INFO 2025-11-26 15:24:16,286 basehttp 213 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 304 0
INFO 2025-11-26 15:24:16,287 basehttp 213 "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
INFO 2025-11-26 15:24:16,287 basehttp 213 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 304 0
INFO 2025-11-26 15:24:16,288 basehttp 213 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
INFO 2025-11-26 15:24:16,316 basehttp 213 "GET /static/rest_framework/img/grid.png HTTP/1.1" 304 0
WARNING 2025-11-26 15:24:25,627 log 253 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-11-26 15:24:25,627 basehttp 213 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 2472
INFO 2025-11-26 15:24:25,716 basehttp 213 "GET /static/rest_framework/css/bootstrap.min.css.map HTTP/1.1" 200 540434
INFO 2025-11-26 15:24:29,074 basehttp 213 "POST /users/login/ HTTP/1.1" 200 8079
WARNING 2025-11-26 15:24:29,098 log 253 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-11-26 15:24:29,098 basehttp 213 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 2472
WARNING 2025-11-26 15:25:12,840 log 253 Bad Request: /users/login/
WARNING 2025-11-26 15:25:12,840 basehttp 213 "POST /users/login/?username=admin&password=admin HTTP/1.1" 400 81
INFO 2025-11-26 15:25:49,054 basehttp 213 "OPTIONS /users/login/?username=admin&password=admin HTTP/1.1" 200 0
WARNING 2025-11-26 15:25:49,056 log 253 Bad Request: /users/login/
WARNING 2025-11-26 15:25:49,056 basehttp 213 "POST /users/login/?username=admin&password=admin HTTP/1.1" 400 75
WARNING 2025-11-26 15:26:04,750 log 253 Bad Request: /users/login/
WARNING 2025-11-26 15:26:04,751 basehttp 213 "POST /users/login/?username=admin&password=admin HTTP/1.1" 400 103
INFO 2025-11-26 15:26:19,395 basehttp 213 "POST /users/login/?username=admin&password=admin HTTP/1.1" 200 489
INFO 2025-11-26 15:27:22,102 basehttp 213 "OPTIONS /users/login/ HTTP/1.1" 200 0
WARNING 2025-11-26 15:27:22,104 log 253 Bad Request: /users/login/
WARNING 2025-11-26 15:27:22,104 basehttp 213 "POST /users/login/ HTTP/1.1" 400 81
INFO 2025-11-26 15:28:03,703 basehttp 213 "POST /users/login/ HTTP/1.1" 200 489
INFO 2025-11-26 15:38:28,046 basehttp 213 "POST /users/login/ HTTP/1.1" 200 489
INFO 2025-11-26 15:41:13,990 autoreload 265 D:\pyProject\StudenManager\ManagerApi\apps\users\urls.py changed, reloading.
INFO 2025-11-26 15:41:14,448 autoreload 667 Watching for file changes with StatReloader
INFO 2025-11-26 15:43:33,825 autoreload 265 D:\pyProject\StudenManager\ManagerApi\apps\users\urls.py changed, reloading.
INFO 2025-11-26 15:43:34,269 autoreload 667 Watching for file changes with StatReloader
INFO 2025-11-26 15:45:08,287 basehttp 213 "POST /users/login/ HTTP/1.1" 200 499
INFO 2025-11-26 15:46:32,149 basehttp 213 "GET /admin/users/user/1/change/ HTTP/1.1" 200 27848
INFO 2025-11-26 15:46:32,185 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-11-26 15:46:48,023 basehttp 213 "POST /admin/users/user/1/change/ HTTP/1.1" 302 0
INFO 2025-11-26 15:46:48,059 basehttp 213 "GET /admin/users/user/ HTTP/1.1" 200 14281
INFO 2025-11-26 15:46:48,093 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-11-26 15:46:56,589 basehttp 213 "POST /users/login/ HTTP/1.1" 200 508
INFO 2025-11-26 15:47:13,285 autoreload 265 D:\pyProject\StudenManager\ManagerApi\apps\users\serializer.py changed, reloading.
INFO 2025-11-26 15:47:13,829 autoreload 667 Watching for file changes with StatReloader
INFO 2025-11-26 15:47:14,710 basehttp 213 "POST /users/login/ HTTP/1.1" 200 508
INFO 2025-11-26 15:47:42,374 autoreload 265 D:\pyProject\StudenManager\ManagerApi\apps\users\serializer.py changed, reloading.
INFO 2025-11-26 15:47:42,845 autoreload 667 Watching for file changes with StatReloader
INFO 2025-11-26 15:47:44,172 basehttp 213 "POST /users/login/ HTTP/1.1" 200 528
INFO 2025-11-26 15:50:09,713 autoreload 265 D:\pyProject\StudenManager\ManagerApi\apps\users\views.py changed, reloading.
INFO 2025-11-26 15:50:10,158 autoreload 667 Watching for file changes with StatReloader
INFO 2025-11-26 15:51:44,202 autoreload 265 D:\pyProject\StudenManager\ManagerApi\apps\users\views.py changed, reloading.
INFO 2025-11-26 15:51:44,628 autoreload 667 Watching for file changes with StatReloader
INFO 2025-11-26 15:52:37,305 autoreload 265 D:\pyProject\StudenManager\ManagerApi\apps\users\urls.py changed, reloading.
INFO 2025-11-26 15:52:37,745 autoreload 667 Watching for file changes with StatReloader
ERROR 2025-11-26 15:52:47,465 log 253 Internal Server Error: /users/students/
Traceback (most recent call last):
  File "D:\pyProject\StudenManager\venv\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "D:\pyProject\StudenManager\venv\Lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "D:\pyProject\StudenManager\venv\Lib\site-packages\django\views\decorators\csrf.py", line 65, in _view_wrapper
    return view_func(request, *args, **kwargs)
  File "D:\pyProject\StudenManager\venv\Lib\site-packages\django\views\generic\base.py", line 105, in view
    return self.dispatch(request, *args, **kwargs)
           ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\pyProject\StudenManager\venv\Lib\site-packages\rest_framework\views.py", line 515, in dispatch
    response = self.handle_exception(exc)
  File "D:\pyProject\StudenManager\venv\Lib\site-packages\rest_framework\views.py", line 475, in handle_exception
    self.raise_uncaught_exception(exc)
    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File "D:\pyProject\StudenManager\venv\Lib\site-packages\rest_framework\views.py", line 486, in raise_uncaught_exception
    raise exc
  File "D:\pyProject\StudenManager\venv\Lib\site-packages\rest_framework\views.py", line 512, in dispatch
    response = handler(request, *args, **kwargs)
  File "D:\pyProject\StudenManager\venv\Lib\site-packages\rest_framework\generics.py", line 203, in get
    return self.list(request, *args, **kwargs)
           ~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\pyProject\StudenManager\venv\Lib\site-packages\rest_framework\mixins.py", line 43, in list
    return self.get_paginated_response(serializer.data)
                                       ^^^^^^^^^^^^^^^
  File "D:\pyProject\StudenManager\venv\Lib\site-packages\rest_framework\serializers.py", line 797, in data
    ret = super().data
          ^^^^^^^^^^^^
  File "D:\pyProject\StudenManager\venv\Lib\site-packages\rest_framework\serializers.py", line 251, in data
    self._data = self.to_representation(self.instance)
                 ~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^
  File "D:\pyProject\StudenManager\venv\Lib\site-packages\rest_framework\serializers.py", line 716, in to_representation
    self.child.to_representation(item) for item in iterable
    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^
  File "D:\pyProject\StudenManager\venv\Lib\site-packages\rest_framework\serializers.py", line 525, in to_representation
    for field in fields:
                 ^^^^^^
  File "D:\pyProject\StudenManager\venv\Lib\site-packages\rest_framework\serializers.py", line 386, in _readable_fields
    for field in self.fields.values():
                 ^^^^^^^^^^^
  File "D:\pyProject\StudenManager\venv\Lib\site-packages\django\utils\functional.py", line 47, in __get__
    res = instance.__dict__[self.name] = self.func(instance)
                                         ~~~~~~~~~^^^^^^^^^^
  File "D:\pyProject\StudenManager\venv\Lib\site-packages\rest_framework\serializers.py", line 374, in fields
    for key, value in self.get_fields().items():
                      ~~~~~~~~~~~~~~~^^
  File "D:\pyProject\StudenManager\venv\Lib\site-packages\rest_framework\serializers.py", line 1105, in get_fields
    field_class, field_kwargs = self.build_field(
                                ~~~~~~~~~~~~~~~~^
        source, info, model, depth
        ^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "D:\pyProject\StudenManager\venv\Lib\site-packages\rest_framework\serializers.py", line 1251, in build_field
    return self.build_unknown_field(field_name, model_class)
           ~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\pyProject\StudenManager\venv\Lib\site-packages\rest_framework\serializers.py", line 1369, in build_unknown_field
    raise ImproperlyConfigured(
    ...<2 lines>...
    )
